date	publication	letter_count	page_count	ratio
1980-09-01	Byte	10	400	0.025
1980-10-01	Byte	14	400	0.035
1980-11-01	Byte	9	432	0.02083333333
1980-12-01	Byte	11	400	0.0275
1981-01-01	Byte	8	384	0.02083333333
1981-02-01	Byte	11	384	0.02864583333
1981-03-01	Byte	8	384	0.02083333333
1981-04-01	Byte	9	416	0.02163461538
1981-05-01	Byte	11	512	0.021484375
1981-06-01	Byte	10	464	0.02155172414
1981-07-01	Byte	12	496	0.02419354839
1981-08-01	Byte	9	480	0.01875
1981-09-01	Byte	15	496	0.03024193548
1981-10-01	Byte	13	528	0.02462121212
1981-11-01	Byte	4	560	0.007142857143
1981-12-01	Byte	8	544	0.01470588235
1982-01-01	Byte	12	496	0.02419354839
1982-02-01	Byte	12	480	0.025
1982-03-01	Byte	11	527	0.02087286528
1982-04-01	Byte	8	544	0.01470588235
1982-05-01	Byte	12	543	0.02209944751
1982-06-01	Byte	14	559	0.02504472272
1982-07-01	Byte	21	511	0.04109589041
1982-08-01	Byte	11	511	0.02152641879
1982-09-01	Byte	12	607	0.0197693575
1980-09-01	Creative Computing	9	224	0.04017857143
1980-10-01	Creative Computing	5	192	0.02604166667
1980-11-01	Creative Computing	10	224	0.04464285714
1980-12-01	Creative Computing	11	224	0.04910714286
1981-01-01	Creative Computing	8	192	0.04166666667
1981-02-01	Creative Computing	11	194	0.05670103093
1981-03-01	Creative Computing		208	0
1981-04-01	Creative Computing	6	228	0.02631578947
1981-05-01	Creative Computing	7	226	0.03097345133
1981-06-01	Creative Computing	9	224	0.04017857143
1981-07-01	Creative Computing	7	226	0.03097345133
1981-08-01	Creative Computing	7	224	0.03125
1981-09-01	Creative Computing		304	0
1981-10-01	Creative Computing	10	288	0.03472222222
1981-11-01	Creative Computing	4	288	0.01388888889
1981-12-01	Creative Computing	4	352	0.01136363636
1982-01-01	Creative Computing	3	224	0.01339285714
1982-02-01	Creative Computing	4	224	0.01785714286
1982-03-01	Creative Computing	6	256	0.0234375
1982-04-01	Creative Computing	3	258	0.01162790698
1982-05-01	Creative Computing	6	224	0.02678571429
1982-06-01	Creative Computing	1	240	0.004166666667
1982-07-01	Creative Computing	6	240	0.025
1982-08-01	Creative Computing	3	256	0.01171875
1982-09-01	Creative Computing	7	234	0.02991452991
1980-09-01	Softalk		28	0
1980-10-01	Softalk		28	0
1980-11-01	Softalk	20	44	0.4545454545
1980-12-01	Softalk	15	36	0.4166666667
1981-01-01	Softalk	10	36	0.2777777778
1981-02-01	Softalk	23	44	0.5227272727
1981-03-01	Softalk	9	52	0.1730769231
1981-04-01	Softalk	13	76	0.1710526316
1981-05-01	Softalk	12	76	0.1578947368
1981-06-01	Softalk	8	84	0.09523809524
1981-07-01	Softalk	7	68	0.1029411765
1981-08-01	Softalk	10	92	0.1086956522
1981-09-01	Softalk	14	116	0.1206896552
1981-10-01	Softalk	21	148	0.1418918919
1981-11-01	Softalk	19	190	0.1
1981-12-01	Softalk	12	208	0.05769230769
1982-01-01	Softalk	31	176	0.1761363636
1982-02-01	Softalk	29	188	0.1542553191
1982-03-01	Softalk	33	188	0.1755319149
1982-04-01	Softalk	43	212	0.2028301887
1982-05-01	Softalk	27	228	0.1184210526
1982-06-01	Softalk	33	220	0.15
1982-07-01	Softalk	28	196	0.1428571429
1982-08-01	Softalk	27	196	0.137755102
1982-09-01	Softalk	31	220	0.1409090909